number,state,id
152661,allocated,A913EF1D
152660,allocated,A91EF175
152659,allocated,A91CACCA
152658,allocated,A91DF5F5
152656,allocated,A91D19ED
152655,allocated,A91D8117
152654,allocated,A9137E0D
152653,allocated,A9140E66
152652,allocated,A913D924
152651,allocated,A91A4849
152650,allocated,A91A5213
152649,allocated,A91A0B90
152648,allocated,A9166AFF
152647,allocated,A91A4475
152646,allocated,A91E772F
152645,allocated,A91B54AA
152644,allocated,A91C8DD1
152643,allocated,A91E1F31
152642,allocated,A91BF2FD
152641,allocated,A912039C
152640,allocated,A915B1BE
152639,allocated,A91B3AD7
152638,allocated,A919960D
152637,allocated,A91E1498
152636,allocated,A91124CD
152635,allocated,A915FC5C
152634,allocated,A915E5DF
152633,allocated,A9138EEB
152632,allocated,A912582A
152631,allocated,A917ED5C
152630,allocated,A91365C7
152629,allocated,A9185339
152609,allocated,A91BDB29
152608,allocated,A91ECC24
152607,allocated,A918E85E
152606,allocated,A91364F5
152605,allocated,A91A29DA
152604,allocated,A9171882
152600,allocated,A919103F
152599,allocated,A91A3AB3
152598,allocated,A917ED5C
152597,allocated,A91D9E9B
152596,allocated,A9168D20
152594,allocated,A91B65AC
152593,allocated,A918CFAD
152592,allocated,A91A7CDD
152591,allocated,A917357E
152590,allocated,A91DC068
152589,allocated,A916AA88
152588,allocated,A91B4B33
152587,allocated,A91B31CE
152586,allocated,A9190D72
152585,allocated,A9186249
152584,allocated,A913D1EA
152583,allocated,A91BBA4F
152483,allocated,A918EDB2
152482,allocated,A913B4BE
152481,allocated,A91754C0
152480,allocated,A917ECFB
152479,allocated,A9149E50
152478,allocated,A91D8B2B
152477,allocated,A914A49B
152476,allocated,A91EF73D
152475,allocated,A9172999
152474,allocated,A91B758E
152473,allocated,A9131711
152472,allocated,A918D6BF
152471,allocated,A914530B
152470,allocated,A9153490
152469,allocated,A91DE500
152468,allocated,A91ABA02
152467,allocated,A91ED9F9
152466,allocated,A915B3AE
152465,allocated,A9142E1E
152464,allocated,A916DAC0
152463,allocated,A9125475
152462,allocated,A91C167F
152461,allocated,A912442A
152460,allocated,A91FB8C9
152459,allocated,A9185B6D
152458,allocated,A91326B3
152457,allocated,A91F65C7
152456,allocated,A91764E1
152455,allocated,A916C2B9
152454,allocated,A91F43F2
152453,allocated,A914410E
152452,allocated,A919C203
152451,allocated,A91883D3
152450,allocated,A9112FE1
152449,allocated,A914E0B6
152448,allocated,A91A76AD
152447,allocated,A913C07A
152446,allocated,A91CDB75
152445,allocated,A919536C
152444,allocated,A91CBB1B
152344,allocated,A9186214
152343,allocated,A9169A3F
152342,allocated,A91CFD5A
152341,allocated,A9132F27
152340,allocated,A91A31F5
152339,allocated,A91D63AF
152338,allocated,A9169DB2
152337,allocated,A91C779D
152336,allocated,A91388E0
152335,allocated,A916B18B
152334,allocated,A91C6CAF
152333,allocated,A917530D
152332,allocated,A912BA82
152331,allocated,A914740F
152330,allocated,A91E1936
152329,allocated,A91FEB37
152328,allocated,A9161322
152327,allocated,A9197CBD
152326,allocated,A9144F59
152325,allocated,A91EA742
152324,allocated,A91EC8F7
152323,allocated,A916B30C
152322,allocated,A91A4B39
152321,allocated,A919A675
152320,allocated,A91175BA
152319,allocated,A914400E
152318,allocated,A91BB629
152317,allocated,A91CEE85
152316,allocated,A9172B65
152315,allocated,A9158D5B
152314,allocated,A91D313B
152313,allocated,A91D34D0
152312,allocated,A91B1E8B
152311,allocated,A9145B5E
152310,allocated,A91885BF
152309,allocated,A916ED2B
152308,allocated,A91DACA7
152307,allocated,A91F9363
152306,allocated,A91CED30
152305,allocated,A913AF6A
152304,allocated,A911606A
152303,allocated,A91A7F56
152302,allocated,A916E43D
152301,allocated,A91A4EF9
152300,allocated,A915ADC4
152299,allocated,A9171D16
152297,allocated,A913B018
152296,allocated,A912981B
152196,allocated,A9149F3E
152195,allocated,A91E2E37
152194,allocated,A91DFC53
152193,allocated,A917B1EE
152192,allocated,A912559E
152190,allocated,A91262CA
152189,allocated,A91AE972
152188,allocated,A91C4EC7
152187,allocated,A91EE03B
152186,allocated,A917ED5C
152185,allocated,A91CF9B0
152184,allocated,A91187FD
152183,allocated,A912E53C
152182,allocated,A913731F
152181,allocated,A91B89AA
152180,allocated,A91109A3
152179,allocated,A91C7AB9
152178,allocated,A919FE01
152177,allocated,A91C7B68
152176,allocated,A91625DB
152175,allocated,A91CE403
152174,allocated,A91C4EC7
152173,allocated,A9161613
152172,allocated,A91B1AE1
152171,allocated,A91DCA4E
152170,allocated,A912CEBD
152169,allocated,A91DF233
152168,allocated,A91D28E1
152167,allocated,A9196198
152166,allocated,A911ED2C
152165,allocated,A915D8F3
152164,allocated,A91CAECE
152163,allocated,A91F34BF
152162,allocated,A916601E
152161,allocated,A91187FD
152160,allocated,A9127E8D
152159,allocated,A91ED35E
152158,allocated,A91E04FE
152157,allocated,A91EC0EE
152156,allocated,A9121C33
152155,allocated,A913F0DF
152153,allocated,A91FB297
152152,allocated,A919A9C8
152151,allocated,A91D63EA
152149,allocated,A91E4468
152148,allocated,A912E80C
152147,allocated,A91C09C5
152146,allocated,A91801A9
152145,allocated,A9113217
152144,allocated,A91CCA92
152143,allocated,A912F437
152142,allocated,A91D97C4
152141,allocated,A91C54A1
152140,allocated,A9143921
152139,allocated,A91A2C5D
152138,allocated,A91FB103
152137,allocated,A913B3F2
152136,allocated,A91FE54B
152135,allocated,A91DC0F2
152134,allocated,A917ED5C
152133,allocated,A91320D4
152132,allocated,A91D4DBC
152131,allocated,A91486D3
152130,allocated,A9137ABC
152129,allocated,A91AC415
152128,allocated,A91572A5
152127,allocated,A917D778
152126,allocated,A9163EDF
152125,allocated,A91423C1
152124,allocated,A9110D07
152123,allocated,A91C9FA7
152122,allocated,A911954F
152121,allocated,A9152C39
152120,allocated,A9143CB3
152119,allocated,A911A7C2
152118,allocated,A917ED5C
152117,allocated,A91C4F28
152116,allocated,A918C212
152115,allocated,A911BCDD
152114,allocated,A9123CA4
152113,allocated,A9128D30
152111,allocated,A911678C
152110,allocated,A91B9EC7
152109,allocated,A91127B5
152108,allocated,A9197DD5
152107,allocated,A9169BAF
152106,allocated,A91CE524
152105,allocated,A9165EA3
152104,allocated,A9125E1B
152103,allocated,A91DB916
152102,allocated,A919536C
152101,allocated,A9187E39
152100,allocated,A9117373
152099,allocated,A912885B
152098,allocated,A912BCAC
152097,allocated,A91627B1
152096,allocated,A917E0BB
152095,allocated,A919D581
152094,allocated,A91F9E9D
152093,allocated,A91FDCA0
152092,allocated,A9174306
152091,allocated,A9128E00
151991,allocated,A9186214
151990,allocated,A9140BED
151989,allocated,A91E15AD
151988,allocated,A91CCEF4
151987,allocated,A91EE09C
151986,allocated,A91237A2
151985,allocated,A919DB5C
151984,allocated,A91E8AF2
151983,allocated,A91BA1D4
151982,allocated,A914B089
151981,allocated,A91E8D07
151980,allocated,A9191010
151979,allocated,A91C53EC
151978,allocated,A91810E3
151977,allocated,A9118689
151976,allocated,A9189AA3
151975,allocated,A9191010
151974,allocated,A91B88CA
151973,allocated,A918E6B7
151972,allocated,A91FD8BE
151971,allocated,A91D3D13
151970,allocated,A9149A0D
151969,allocated,A9120E98
151968,allocated,A9159FAF
151967,allocated,A91925D2
151966,allocated,A91EBA0E
151965,allocated,A91DD55B
151964,allocated,A91297A2
151963,allocated,A91F0D86
151962,allocated,A91490C8
151961,allocated,A91B0CAE
151960,allocated,A91BBCAF
151959,allocated,A919536C
151958,allocated,A91952AA
151957,allocated,A9148B17
151956,allocated,A911829D
151955,allocated,A918E9A4
151954,allocated,A91187FD
151953,allocated,A91C6FD6
151952,allocated,A91DC24F
151951,allocated,A91B1018
151851,allocated,A91A560A
151850,allocated,A91597E8
151848,allocated,A9180D79
151847,allocated,A9164F6C
151846,allocated,A91B8782
151845,allocated,A9132B7A
151844,allocated,A91E0C33
151843,allocated,A91947C4
151842,allocated,A91FF89A
151840,allocated,A913C68B
151839,allocated,A9194CBD
151838,allocated,A911393B
151837,allocated,A91F38FD
151836,allocated,A9182E91
151835,allocated,A9174589
151834,allocated,A9162744
151833,allocated,A913CC0C
151832,allocated,A91F39EC
151831,allocated,A9197CA9
151830,allocated,A91B7D17
151829,allocated,A91B31CE
151828,allocated,A91F0695
151827,allocated,A911BD54
151826,allocated,A91C37ED
151825,allocated,A9137ABC
151824,allocated,A9120AAA
151823,allocated,A914EAE4
151822,allocated,A918524B
151821,allocated,A91BABFD
151820,allocated,A91E2042
151819,allocated,A912E705
151818,allocated,A919D08A
151817,allocated,A9111590
151816,allocated,A917AF06
151815,allocated,A9165CEF
151814,allocated,A917ED5C
151813,allocated,A91A35A4
151812,allocated,A9147BF1
151811,allocated,A91BBED0
151810,allocated,A91F17AA
151809,allocated,A91CBE4E
151808,allocated,A9137ABC
151807,allocated,A91B7B32
151806,allocated,A91FBA0C
151804,allocated,A913CEBD
151803,allocated,A915C948
151802,allocated,A91DF31D
151801,allocated,A91F39A9
151800,allocated,A91C7169
151799,allocated,A91FD1C3
151798,allocated,A9110BE2
151797,allocated,A911678C
151796,allocated,A91BC64D
151795,allocated,A9181C93
151794,allocated,A912294F
151792,allocated,A91B6DAC
151791,allocated,A911FF25
151790,allocated,A91F715C
151789,allocated,A9122041
151788,allocated,A91BCDC6
151787,allocated,A9136385
151786,allocated,A914661C
151785,allocated,A917ED5C
151784,allocated,A914233F
151783,allocated,A915F6E4
151782,allocated,A917ED5C
151781,allocated,A911BEA7
151780,allocated,A919536C
151779,allocated,A9117836
151679,allocated,A918EDB2
151678,allocated,A914A2C1
151677,allocated,A91A560A
151676,allocated,A91F4B3F
151675,allocated,A916A763
151673,allocated,A917ED5C
151672,allocated,A91FE2FD
151671,allocated,A9128C33
151670,allocated,A91DB808
151669,allocated,A917B4BF
151668,allocated,A916600A
151667,allocated,A9192BCF
151666,allocated,A91530ED
151665,allocated,A91BB0F3
151664,allocated,A91C5AEE
151663,allocated,A91ED596
151662,allocated,A917E322
151661,allocated,A91839CF
151660,allocated,A91E3F3C
151659,allocated,A916BFAB
151658,allocated,A91674B8
151657,allocated,A918D6BF
151656,allocated,A91AF2D9
151655,allocated,A9112DB1
151654,allocated,A9119C32
151653,allocated,A918D727
151652,allocated,A91FD2E3
151651,allocated,A91A1EE0
151650,allocated,A911EA9E
151649,allocated,A912A471
151648,allocated,A917F0FA
151647,allocated,A91FB434
151646,allocated,A91AF0C6
151645,allocated,A91A043A
151644,allocated,A918C21E
151643,allocated,A912DB99
151642,allocated,A91A9C1E
151641,allocated,A91B5623
151640,allocated,A91EE099
151639,allocated,A916CA31
151638,allocated,A9128077
151637,allocated,A914B45F
151636,allocated,A9143F26
151635,allocated,A91166FC
151634,allocated,A91E0EF8
151633,allocated,A9169A9C
151632,allocated,A91F473F
151631,allocated,A913CBB2
151630,allocated,A912250C
151629,allocated,A9121B73
151628,allocated,A914EAE4
151627,allocated,A91E953B
151625,allocated,A919B663
151624,allocated,A91CDCB6
151623,allocated,A91E4236
151622,allocated,A91941E9
151621,allocated,A91B8E1F
151620,allocated,A913ABFE
151619,allocated,A9134858
151618,allocated,A91487A2
151617,allocated,A91A0847
151616,allocated,A914CB97
151615,allocated,A91A98E5
151614,allocated,A91D3F8E
151613,allocated,A912F1CA
151612,allocated,A9152D28
151611,allocated,A91746B1
151610,allocated,A917E678
151609,allocated,A91BB0F3
151608,allocated,A9154376
151607,allocated,A9123600
151606,allocated,A91295B6
151605,allocated,A918ABFC
151604,allocated,A914E8BF
151603,allocated,A91DDC1B
151602,allocated,A91C0744
151502,allocated,A9186214
151501,allocated,A91C0CD5
151500,allocated,A9186004
151499,allocated,A91E91BC
151498,allocated,A917FED9
151496,allocated,A91F7EFC
151495,allocated,A9152787
151494,allocated,A917ED5C
151493,allocated,A9159E90
151492,allocated,A918415F
151491,allocated,A91F583B
151490,allocated,A917ED5C
151489,allocated,A91FAC84
151488,allocated,A91FD6E4
151487,allocated,A9112DB1
151486,allocated,A9195A1A
151485,allocated,A91B35DF
151484,allocated,A91463ED
151483,allocated,A91BF781
151482,allocated,A91423FF
151481,allocated,A91FE9DC
151480,allocated,A91FA64C
151479,allocated,A91C9F4F
151478,allocated,A91B546A
151477,allocated,A911DE88
151476,allocated,A912F76A
151475,allocated,A9119A0E
151474,allocated,A91F716F
151473,allocated,A912CB7D
151472,allocated,A917EB96
151471,allocated,A913C2DC
151470,allocated,A917ADD1
151469,allocated,A91884A1
151468,allocated,A91A7B94
151467,allocated,A91F9C42
151466,allocated,A911F627
151465,allocated,A9113A27
151464,allocated,A91F5675
151463,allocated,A91D8252
151423,allocated,A91E5D61
151422,allocated,A913CDE5
151421,allocated,A91A5CC3
151420,allocated,A91187FD
151419,allocated,A917BEA7
151418,allocated,A917ED5C
