country,version,ip,prefixlength,state,orgsflat
*,ipv4,160.25.14.0,23,reserved,*
*,ipv4,160.25.102.0,23,reserved,*
*,ipv4,160.187.7.0,24,reserved,*
*,ipv4,160.187.194.0,23,reserved,*
*,ipv4,160.191.6.0,23,reserved,*
*,ipv4,160.250.242.0,23,reserved,*
*,ipv4,163.223.239.0,24,reserved,*
*,ipv4,163.227.236.0,23,reserved,*
*,ipv4,165.99.92.0,23,reserved,*
*,ipv4,165.101.142.0,24,reserved,*
*,ipv4,165.101.196.0,23,reserved,*
*,ipv4,166.121.0.0,16,reserved,*
*,ipv4,180.214.168.0,21,reserved,*
*,ipv4,182.50.16.0,20,reserved,*
*,ipv4,185.167.12.0,22,reserved,*
*,ipv4,192.42.151.0,24,reserved,*
*,ipv4,192.65.82.0,23,reserved,*
*,ipv4,192.65.84.0,22,reserved,*
*,ipv4,192.65.88.0,22,reserved,*
*,ipv4,192.132.41.0,24,reserved,*
*,ipv4,192.153.93.0,24,reserved,*
*,ipv4,192.160.161.0,24,reserved,*
*,ipv4,192.189.209.0,24,reserved,*
*,ipv4,192.189.210.0,24,reserved,*
*,ipv4,192.189.211.0,24,reserved,*
*,ipv4,192.203.81.0,24,reserved,*
*,ipv4,192.203.82.0,23,reserved,*
*,ipv4,192.203.84.0,22,reserved,*
*,ipv4,192.203.88.0,21,reserved,*
*,ipv4,192.203.232.0,24,reserved,*
*,ipv4,192.251.204.0,24,reserved,*
*,ipv4,198.51.100.0,24,reserved,*
*,ipv4,198.51.195.0,24,reserved,*
*,ipv4,198.73.220.0,24,reserved,*
*,ipv4,198.99.173.0,24,reserved,*
*,ipv4,202.1.224.0,21,reserved,*
*,ipv4,202.4.174.0,24,reserved,*
*,ipv4,202.6.113.0,24,reserved,*
*,ipv4,202.7.58.0,24,reserved,*
*,ipv4,202.9.88.0,24,reserved,*
*,ipv4,202.12.4.0,24,reserved,*
*,ipv4,202.12.5.0,24,reserved,*
*,ipv4,202.12.6.0,24,reserved,*
*,ipv4,202.12.7.0,24,reserved,*
*,ipv4,202.12.26.0,24,reserved,*
*,ipv4,202.14.117.0,24,reserved,*
*,ipv4,202.14.187.0,24,reserved,*
*,ipv4,202.20.77.0,24,reserved,*
*,ipv4,202.20.78.0,24,reserved,*
*,ipv4,202.27.188.0,24,reserved,*
*,ipv4,202.36.230.0,24,reserved,*
*,ipv4,202.37.232.0,24,reserved,*
*,ipv4,202.37.250.0,24,reserved,*
*,ipv4,202.46.136.0,21,reserved,*
*,ipv4,202.47.125.0,24,reserved,*
*,ipv4,202.49.14.0,24,reserved,*
*,ipv4,202.49.33.0,24,reserved,*
*,ipv4,202.49.58.0,24,reserved,*
*,ipv4,202.49.150.0,24,reserved,*
*,ipv4,202.58.2.0,24,reserved,*
*,ipv4,202.58.233.0,24,reserved,*
*,ipv4,202.61.103.0,24,reserved,*
*,ipv4,202.65.160.0,23,reserved,*
*,ipv4,202.71.191.0,24,reserved,*
*,ipv4,202.73.160.0,20,reserved,*
*,ipv4,202.73.176.0,21,reserved,*
*,ipv4,202.73.184.0,21,reserved,*
*,ipv4,202.78.252.0,22,reserved,*
*,ipv4,202.89.118.0,24,reserved,*
*,ipv4,202.129.253.0,24,reserved,*
*,ipv4,202.134.59.0,24,reserved,*
*,ipv4,202.146.8.0,21,reserved,*
*,ipv4,202.155.0.0,23,reserved,*
*,ipv4,202.155.2.0,23,reserved,*
*,ipv4,202.155.4.0,22,reserved,*
*,ipv4,202.172.8.0,21,reserved,*
*,ipv4,202.174.121.0,24,reserved,*
*,ipv4,203.0.1.0,24,reserved,*
*,ipv4,203.0.113.0,24,reserved,*
*,ipv4,203.0.129.0,24,reserved,*
*,ipv4,203.1.20.0,23,reserved,*
*,ipv4,203.2.149.0,24,reserved,*
*,ipv4,203.3.144.0,21,reserved,*
*,ipv4,203.3.156.0,22,reserved,*
*,ipv4,203.4.228.0,24,reserved,*
*,ipv4,203.5.23.0,24,reserved,*
*,ipv4,203.6.243.0,24,reserved,*
*,ipv4,203.6.244.0,24,reserved,*
*,ipv4,203.7.226.0,24,reserved,*
*,ipv4,203.8.92.0,23,reserved,*
*,ipv4,203.9.33.0,24,reserved,*
*,ipv4,203.9.38.0,23,reserved,*
*,ipv4,203.9.48.0,22,reserved,*
*,ipv4,203.9.103.0,24,reserved,*
*,ipv4,203.9.111.0,24,reserved,*
*,ipv4,203.9.136.0,21,reserved,*
*,ipv4,203.9.156.0,24,reserved,*
*,ipv4,203.9.224.0,20,reserved,*
*,ipv4,203.10.102.0,23,reserved,*
*,ipv4,203.11.68.0,24,reserved,*
*,ipv4,203.11.83.0,24,reserved,*
*,ipv4,203.11.92.0,23,reserved,*
*,ipv4,203.11.184.0,21,reserved,*
*,ipv4,203.12.23.0,24,reserved,*
*,ipv4,203.12.32.0,22,reserved,*
*,ipv4,203.12.68.0,24,reserved,*
*,ipv4,203.12.136.0,24,reserved,*
*,ipv4,203.13.165.0,24,reserved,*
*,ipv4,203.13.222.0,24,reserved,*
*,ipv4,203.14.28.0,24,reserved,*
*,ipv4,203.14.128.0,20,reserved,*
*,ipv4,203.15.67.0,24,reserved,*
*,ipv4,203.15.92.0,24,reserved,*
*,ipv4,203.16.52.0,23,reserved,*
*,ipv4,203.16.167.0,24,reserved,*
*,ipv4,203.16.206.0,24,reserved,*
*,ipv4,203.16.234.0,24,reserved,*
*,ipv4,203.16.239.0,24,reserved,*
*,ipv4,203.17.1.0,24,reserved,*
*,ipv4,203.17.4.0,24,reserved,*
*,ipv4,203.17.11.0,24,reserved,*
*,ipv4,203.17.37.0,24,reserved,*
*,ipv4,203.17.54.0,23,reserved,*
*,ipv4,203.17.95.0,24,reserved,*
*,ipv4,203.17.179.0,24,reserved,*
*,ipv4,203.18.38.0,24,reserved,*
*,ipv4,203.18.232.0,22,reserved,*
*,ipv4,203.19.26.0,24,reserved,*
*,ipv4,203.19.43.0,24,reserved,*
*,ipv4,203.19.145.0,24,reserved,*
*,ipv4,203.19.146.0,24,reserved,*
*,ipv4,203.20.52.0,23,reserved,*
*,ipv4,203.20.70.0,24,reserved,*
*,ipv4,203.21.32.0,24,reserved,*
*,ipv4,203.22.77.0,24,reserved,*
*,ipv4,203.22.171.0,24,reserved,*
*,ipv4,203.23.37.0,24,reserved,*
*,ipv4,203.24.72.0,24,reserved,*
*,ipv4,203.24.75.0,24,reserved,*
*,ipv4,203.24.99.0,24,reserved,*
*,ipv4,203.24.110.0,24,reserved,*
*,ipv4,203.24.158.0,23,reserved,*
*,ipv4,203.24.160.0,24,reserved,*
*,ipv4,203.24.179.0,24,reserved,*
*,ipv4,203.24.181.0,24,reserved,*
*,ipv4,203.25.103.0,24,reserved,*
*,ipv4,203.25.110.0,24,reserved,*
*,ipv4,203.25.151.0,24,reserved,*
*,ipv4,203.25.167.0,24,reserved,*
*,ipv4,203.25.198.0,24,reserved,*
*,ipv4,203.26.69.0,24,reserved,*
*,ipv4,203.26.73.0,24,reserved,*
*,ipv4,203.26.88.0,24,reserved,*
*,ipv4,203.26.96.0,24,reserved,*
*,ipv4,203.26.126.0,24,reserved,*
*,ipv4,203.26.128.0,24,reserved,*
*,ipv4,203.26.192.0,22,reserved,*
*,ipv4,203.26.236.0,24,reserved,*
*,ipv4,203.26.242.0,24,reserved,*
*,ipv4,203.27.74.0,23,reserved,*
*,ipv4,203.27.80.0,24,reserved,*
*,ipv4,203.28.21.0,24,reserved,*
*,ipv4,203.28.120.0,24,reserved,*
*,ipv4,203.28.124.0,23,reserved,*
*,ipv4,203.28.190.0,24,reserved,*
*,ipv4,203.28.213.0,24,reserved,*
*,ipv4,203.28.222.0,23,reserved,*
*,ipv4,203.28.254.0,23,reserved,*
*,ipv4,203.29.48.0,23,reserved,*
*,ipv4,203.29.62.0,24,reserved,*
*,ipv4,203.29.232.0,24,reserved,*
*,ipv4,203.30.40.0,22,reserved,*
*,ipv4,203.30.57.0,24,reserved,*
*,ipv4,203.30.145.0,24,reserved,*
*,ipv4,203.30.202.0,23,reserved,*
*,ipv4,203.31.7.0,24,reserved,*
*,ipv4,203.31.71.0,24,reserved,*
*,ipv4,203.31.242.0,23,reserved,*
*,ipv4,203.31.251.0,24,reserved,*
*,ipv4,203.32.61.0,24,reserved,*
*,ipv4,203.32.176.0,24,reserved,*
*,ipv4,203.32.208.0,22,reserved,*
*,ipv4,203.33.168.0,24,reserved,*
*,ipv4,203.33.172.0,24,reserved,*
*,ipv4,203.33.178.0,24,reserved,*
*,ipv4,203.34.29.0,24,reserved,*
*,ipv4,203.34.46.0,23,reserved,*
*,ipv4,203.34.51.0,24,reserved,*
*,ipv4,203.34.107.0,24,reserved,*
*,ipv4,203.34.140.0,24,reserved,*
*,ipv4,203.34.200.0,24,reserved,*
*,ipv4,203.34.216.0,24,reserved,*
*,ipv4,203.34.233.0,24,reserved,*
*,ipv4,203.34.254.0,23,reserved,*
*,ipv4,203.55.60.0,24,reserved,*
*,ipv4,203.55.82.0,24,reserved,*
*,ipv4,203.55.137.0,24,reserved,*
*,ipv4,203.55.140.0,23,reserved,*
*,ipv4,203.55.164.0,23,reserved,*
*,ipv4,203.55.203.0,24,reserved,*
*,ipv4,203.56.7.0,24,reserved,*
*,ipv4,203.56.36.0,24,reserved,*
*,ipv4,203.56.70.0,24,reserved,*
*,ipv4,203.56.71.0,24,reserved,*
*,ipv4,203.56.108.0,24,reserved,*
*,ipv4,203.57.65.0,24,reserved,*
*,ipv4,203.57.74.0,23,reserved,*
*,ipv4,203.57.218.0,24,reserved,*
*,ipv4,203.62.176.0,24,reserved,*
*,ipv4,203.92.8.0,21,reserved,*
*,ipv4,203.119.43.0,24,reserved,*
*,ipv4,203.119.92.0,23,reserved,*
*,ipv4,203.119.96.0,22,reserved,*
*,ipv4,203.153.48.0,24,reserved,*
*,ipv4,203.160.138.0,23,reserved,*
*,ipv4,203.161.180.0,24,reserved,*
*,ipv4,203.175.111.0,24,reserved,*
*,ipv4,203.189.90.0,24,reserved,*
*,ipv4,203.190.220.0,23,reserved,*
*,ipv4,203.202.234.0,24,reserved,*
*,ipv4,210.87.108.0,23,reserved,*
*,ipv4,210.211.24.0,22,reserved,*
*,ipv4,210.211.28.0,23,reserved,*
*,ipv4,218.100.20.0,24,reserved,*
*,ipv4,218.100.46.0,23,reserved,*
*,ipv4,218.100.51.0,24,reserved,*
*,ipv4,218.100.59.0,24,reserved,*
*,ipv4,218.100.68.0,24,reserved,*
*,ipv4,218.100.70.0,24,reserved,*
*,ipv4,218.100.79.0,24,reserved,*
*,ipv4,218.100.86.0,24,reserved,*
*,ipv6,240c:1::,32,reserved,*
*,ipv6,240c:2::,31,reserved,*
*,ipv6,240c:4::,31,reserved,*
*,ipv6,240c:7::,32,reserved,*
*,ipv6,240c:8::,30,reserved,*
*,ipv6,240c:c::,31,reserved,*
*,ipv6,240c:e::,32,reserved,*
*,ipv6,2404:90::,28,reserved,*
*,ipv6,2404:f0::,28,reserved,*
*,ipv6,240a:80::,25,reserved,*
*,ipv6,240b:40::,26,reserved,*
*,ipv6,240b:80::,25,reserved,*
*,ipv6,240c:10::,28,reserved,*
*,ipv6,240c:20::,27,reserved,*
*,ipv6,240c:40::,26,reserved,*
*,ipv6,240c:80::,25,reserved,*
