region,country,version,ip,prefixlength
afrinic,CI,ipv6,2001:43ff:a000::,48
afrinic,CM,ipv4,102.135.189.0,24
afrinic,CM,ipv4,102.218.252.0,22
afrinic,CM,ipv4,102.220.222.0,24
afrinic,CM,ipv4,102.223.6.0,24
afrinic,CM,ipv4,192.145.186.0,23
afrinic,CM,ipv4,196.3.90.0,24
afrinic,CM,ipv4,196.49.38.0,24
afrinic,CM,ipv4,196.49.84.0,24
afrinic,CM,ipv4,196.60.6.0,24
afrinic,CM,ipv4,196.60.7.0,24
afrinic,CM,ipv4,196.60.84.0,24
afrinic,CM,ipv4,196.216.212.0,24
afrinic,CM,ipv6,2001:43f8:d70::,48
afrinic,CM,ipv6,2001:43f8:d71::,48
afrinic,CM,ipv6,2001:43f8:1470::,48
afrinic,CM,ipv6,2001:43fc:a000::,48
afrinic,CM,ipv6,2001:43fd:c000::,48
afrinic,CM,ipv6,2001:43fe:c000::,48
afrinic,CM,ipv6,2001:43ff:8000::,44
afrinic,CV,ipv4,102.69.151.0,24
afrinic,CV,ipv4,102.214.188.0,24
afrinic,CV,ipv4,102.216.132.0,24
afrinic,CV,ipv4,196.49.96.0,24
afrinic,CV,ipv4,196.60.112.0,24
afrinic,CV,ipv6,2001:43f8:16c0::,48
afrinic,CV,ipv6,2001:43f8:16c1::,48
afrinic,CV,ipv6,2001:43fc:1000::,48
afrinic,DJ,ipv4,196.49.10.0,24
afrinic,DJ,ipv4,196.223.38.0,24
afrinic,DJ,ipv6,2001:43f8:9c0::,48
afrinic,DJ,ipv6,2001:43f8:9c1::,48
afrinic,DZ,ipv4,192.52.232.0,24
afrinic,DZ,ipv4,192.245.148.0,24
afrinic,DZ,ipv4,193.41.146.0,23
afrinic,DZ,ipv4,195.24.80.0,21
afrinic,DZ,ipv4,195.39.218.0,23
afrinic,EG,ipv4,62.12.120.0,21
afrinic,EG,ipv4,84.205.96.0,19
afrinic,EG,ipv4,102.64.58.0,24
afrinic,EG,ipv4,102.68.22.0,24
afrinic,EG,ipv4,102.69.149.0,24
afrinic,EG,ipv4,102.69.150.0,24
afrinic,EG,ipv4,102.164.114.0,23
afrinic,EG,ipv4,102.164.122.0,24
afrinic,EG,ipv4,102.214.185.0,24
afrinic,EG,ipv4,102.217.254.0,24
afrinic,EG,ipv4,102.218.20.0,22
afrinic,EG,ipv4,102.219.132.0,22
afrinic,EG,ipv4,102.221.116.0,24
afrinic,EG,ipv4,102.221.142.0,23
afrinic,EG,ipv4,102.223.94.0,24
afrinic,EG,ipv4,102.223.144.0,22
afrinic,EG,ipv4,102.223.250.0,24
afrinic,EG,ipv4,155.12.128.0,18
afrinic,EG,ipv4,192.101.142.0,24
afrinic,EG,ipv4,193.19.232.0,22
afrinic,EG,ipv4,193.227.128.0,24
afrinic,EG,ipv4,195.234.168.0,24
afrinic,EG,ipv4,195.234.185.0,24
afrinic,EG,ipv4,195.234.252.0,22
afrinic,EG,ipv4,196.1.143.0,24
afrinic,EG,ipv4,196.3.14.0,23
afrinic,EG,ipv4,196.6.185.0,24
afrinic,EG,ipv4,196.6.236.0,24
afrinic,EG,ipv4,196.10.97.0,24
afrinic,EG,ipv4,196.10.120.0,24
afrinic,EG,ipv4,196.12.11.0,24
afrinic,EG,ipv4,196.13.206.0,24
afrinic,EG,ipv4,196.13.244.0,24
afrinic,EG,ipv4,196.13.253.0,24
afrinic,EG,ipv4,196.22.5.0,24
afrinic,EG,ipv4,196.22.7.0,24
afrinic,EG,ipv4,196.22.130.0,24
afrinic,EG,ipv4,196.41.73.0,24
afrinic,EG,ipv4,196.41.83.0,24
afrinic,EG,ipv4,196.43.201.0,24
afrinic,EG,ipv4,196.43.219.0,24
afrinic,EG,ipv4,196.43.237.0,24
afrinic,EG,ipv4,196.46.22.0,24
afrinic,EG,ipv4,196.49.86.0,24
afrinic,EG,ipv4,196.50.22.0,23
afrinic,EG,ipv4,196.60.86.0,24
afrinic,EG,ipv4,196.201.3.0,24
afrinic,EG,ipv4,196.201.24.0,21
afrinic,EG,ipv4,196.216.24.0,21
afrinic,EG,ipv4,196.216.140.0,22
afrinic,EG,ipv4,196.216.206.0,24
