state,ip,prefixlength
allocated,66.251.128.0,18
allocated,102.0.0.0,8
allocated,105.0.0.0,8
allocated,139.26.0.0,16
allocated,146.196.128.0,17
allocated,154.0.0.0,12
allocated,154.16.0.0,16
allocated,154.17.0.0,16
allocated,154.18.0.0,15
allocated,154.20.0.0,14
allocated,154.24.0.0,13
allocated,154.32.0.0,11
allocated,154.64.0.0,10
allocated,154.128.0.0,9
allocated,160.19.36.0,22
allocated,160.19.60.0,22
allocated,160.19.96.0,21
allocated,160.19.112.0,20
allocated,160.19.128.0,20
allocated,160.19.152.0,22
allocated,160.19.188.0,22
allocated,160.19.192.0,21
allocated,160.19.232.0,21
allocated,160.20.24.0,21
allocated,160.20.112.0,22
allocated,160.20.213.0,24
allocated,160.20.217.0,24
allocated,160.20.221.0,24
allocated,160.20.226.0,23
allocated,160.20.252.0,22
allocated,160.238.11.0,24
allocated,160.238.48.0,23
allocated,160.238.50.0,24
allocated,160.238.57.0,24
allocated,160.238.101.0,24
allocated,161.123.0.0,16
allocated,164.160.0.0,16
allocated,192.12.110.0,23
allocated,192.12.116.0,23
allocated,192.47.36.0,24
allocated,192.51.240.0,24
allocated,192.70.200.0,23
allocated,192.75.236.0,24
allocated,192.83.208.0,21
allocated,192.91.200.0,24
allocated,192.142.0.0,15
allocated,192.145.128.0,18
allocated,192.145.230.0,24
allocated,196.0.0.0,8
allocated,197.0.0.0,8
allocated,204.8.204.0,22
allocated,208.85.156.0,22
allocated,1.0.0.0,8
allocated,14.0.0.0,8
allocated,27.0.0.0,8
allocated,36.0.0.0,8
allocated,39.0.0.0,8
allocated,42.0.0.0,8
allocated,43.0.0.0,9
allocated,43.128.0.0,10
allocated,43.192.0.0,11
allocated,43.224.0.0,13
allocated,43.232.0.0,14
allocated,43.236.0.0,14
allocated,43.240.0.0,14
allocated,43.244.0.0,16
allocated,43.245.0.0,16
allocated,43.246.0.0,15
allocated,43.248.0.0,14
allocated,43.252.0.0,16
allocated,43.253.0.0,16
allocated,43.254.0.0,15
allocated,45.64.0.0,16
allocated,45.65.0.0,20
allocated,45.65.16.0,20
allocated,45.65.32.0,19
allocated,45.112.0.0,12
allocated,45.248.0.0,13
allocated,49.0.0.0,8
allocated,58.0.0.0,8
allocated,59.0.0.0,8
allocated,60.0.0.0,8
allocated,61.0.0.0,8
allocated,101.0.0.0,8
allocated,103.0.0.0,8
allocated,106.0.0.0,8
allocated,110.0.0.0,8
allocated,111.0.0.0,8
allocated,112.0.0.0,8
allocated,113.0.0.0,8
allocated,114.0.0.0,8
allocated,115.0.0.0,8
allocated,116.0.0.0,8
allocated,117.0.0.0,8
allocated,118.0.0.0,8
allocated,119.0.0.0,8
allocated,120.0.0.0,8
allocated,121.0.0.0,8
allocated,122.0.0.0,8
allocated,123.0.0.0,8
allocated,124.0.0.0,8
allocated,125.0.0.0,8
allocated,126.0.0.0,8
allocated,133.0.0.0,8
allocated,137.59.0.0,16
allocated,139.5.0.0,16
allocated,144.48.0.0,16
allocated,146.196.32.0,19
allocated,146.196.64.0,18
allocated,150.0.0.0,10
allocated,150.64.0.0,11
allocated,150.96.0.0,13
allocated,150.104.0.0,15
allocated,150.106.0.0,16
allocated,150.107.0.0,16
allocated,150.108.0.0,14
allocated,150.112.0.0,12
allocated,150.128.0.0,16
allocated,150.129.0.0,16
allocated,150.130.0.0,15
allocated,150.132.0.0,14
allocated,150.136.0.0,13
allocated,150.144.0.0,12
allocated,150.160.0.0,11
allocated,150.192.0.0,11
allocated,150.224.0.0,12
allocated,150.240.0.0,15
allocated,150.242.0.0,16
allocated,150.243.0.0,16
allocated,150.244.0.0,14
allocated,150.248.0.0,13
allocated,153.0.0.0,8
allocated,157.119.0.0,16
allocated,160.19.20.0,22
allocated,160.19.48.0,21
allocated,160.19.64.0,22
allocated,160.19.208.0,20
allocated,160.19.224.0,22
allocated,160.20.0.0,20
allocated,160.20.40.0,21
allocated,160.20.48.0,20
allocated,160.20.72.0,22
allocated,160.20.222.0,23
allocated,160.202.8.0,21
allocated,160.202.32.0,19
allocated,160.202.128.0,17
allocated,160.238.0.0,24
allocated,160.238.12.0,22
allocated,160.238.16.0,22
allocated,160.238.33.0,24
allocated,160.238.34.0,23
