region,version,ip,prefixlength,state
ripencc,ipv4,109.71.64.0,21,allocated
ripencc,ipv4,95.170.224.0,19,allocated
ripencc,ipv4,95.142.112.0,20,allocated
ripencc,ipv4,134.19.136.0,21,allocated
ripencc,ipv4,95.131.128.0,21,allocated
ripencc,ipv4,95.102.0.0,15,allocated
ripencc,ipv4,94.229.32.0,20,allocated
ripencc,ipv4,94.228.80.0,20,allocated
ripencc,ipv4,94.177.20.0,24,allocated
ripencc,ipv4,94.136.128.0,19,allocated
ripencc,ipv4,94.124.144.0,21,allocated
ripencc,ipv4,95.105.128.0,17,allocated
ripencc,ipv4,93.184.64.0,20,allocated
ripencc,ipv4,141.136.48.0,21,allocated
ripencc,ipv4,146.19.201.0,24,allocated
ripencc,ipv4,178.18.64.0,20,allocated
ripencc,ipv4,176.61.192.0,18,allocated
ripencc,ipv4,176.10.40.0,21,allocated
ripencc,ipv4,171.22.96.0,22,allocated
ripencc,ipv4,164.40.168.0,21,allocated
ripencc,ipv4,159.253.104.0,21,allocated
ripencc,ipv4,145.255.144.0,20,allocated
ripencc,ipv4,159.242.224.0,20,allocated
ripencc,ipv4,158.255.16.0,20,allocated
ripencc,ipv4,152.89.16.0,22,allocated
ripencc,ipv4,151.236.224.0,20,allocated
ripencc,ipv4,147.78.168.0,22,allocated
ripencc,ipv4,147.78.56.0,22,allocated
ripencc,ipv4,146.19.202.0,24,allocated
ripencc,ipv4,158.255.248.0,21,allocated
ripencc,ipv4,93.174.176.0,21,allocated
ripencc,ipv4,92.245.192.0,19,allocated
ripencc,ipv4,92.245.0.0,19,allocated
ripencc,ipv4,92.60.56.0,21,allocated
ripencc,ipv4,92.60.52.0,22,allocated
ripencc,ipv4,92.60.48.0,22,allocated
ripencc,ipv4,92.52.0.0,18,allocated
ripencc,ipv4,91.221.110.0,23,allocated
ripencc,ipv4,91.216.146.0,24,allocated
ripencc,ipv4,92.240.224.0,22,allocated
ripencc,ipv4,91.209.224.0,24,allocated
ripencc,ipv4,91.209.209.0,24,allocated
ripencc,ipv4,91.209.205.0,24,allocated
ripencc,ipv4,91.201.28.0,22,allocated
ripencc,ipv4,91.191.64.0,18,allocated
ripencc,ipv4,91.148.0.0,18,allocated
ripencc,ipv4,91.127.0.0,16,allocated
ripencc,ipv4,91.209.215.0,24,allocated
ripencc,ipv4,92.240.228.0,22,allocated
ripencc,ipv4,92.240.232.0,23,allocated
ripencc,ipv4,92.240.234.0,23,allocated
ripencc,ipv4,92.240.255.0,24,allocated
ripencc,ipv4,92.240.254.0,24,allocated
ripencc,ipv4,92.240.253.0,24,allocated
ripencc,ipv4,92.240.252.0,24,allocated
ripencc,ipv4,92.240.250.0,23,allocated
ripencc,ipv4,92.240.249.0,24,allocated
ripencc,ipv4,92.240.248.0,24,allocated
ripencc,ipv4,92.240.246.0,23,allocated
ripencc,ipv4,92.240.244.0,23,allocated
ripencc,ipv4,92.240.243.0,24,allocated
ripencc,ipv4,92.240.242.0,24,allocated
ripencc,ipv4,92.240.241.0,24,allocated
ripencc,ipv4,92.240.240.0,24,allocated
ripencc,ipv4,92.240.238.0,23,allocated
ripencc,ipv4,92.240.236.0,23,allocated
ripencc,ipv4,89.173.0.0,16,allocated
ripencc,ipv4,195.168.32.0,19,allocated
ripencc,ipv4,2.57.64.0,22,allocated
ripencc,ipv4,195.168.128.0,17,allocated
ripencc,ipv4,192.108.132.0,23,assigned
ripencc,ipv4,192.108.134.0,19,assigned
ripencc,ipv4,193.28.8.0,24,assigned
ripencc,ipv4,193.39.251.0,24,assigned
ripencc,ipv4,193.58.192.0,21,assigned
ripencc,ipv4,193.93.72.0,22,assigned
ripencc,ipv4,193.105.142.0,24,assigned
ripencc,ipv4,193.108.132.0,23,assigned
ripencc,ipv4,193.110.186.0,23,assigned
ripencc,ipv4,193.111.96.0,22,assigned
ripencc,ipv4,193.148.46.0,24,assigned
ripencc,ipv4,193.150.72.0,22,assigned
ripencc,ipv4,193.187.56.0,21,assigned
ripencc,ipv4,193.193.170.0,24,assigned
ripencc,ipv4,193.200.9.0,24,assigned
ripencc,ipv4,192.108.131.0,24,assigned
ripencc,ipv4,193.200.143.0,24,assigned
ripencc,ipv4,192.108.130.0,24,assigned
ripencc,ipv4,185.1.234.0,24,assigned
ripencc,ipv4,147.175.0.0,16,assigned
ripencc,ipv4,147.213.0.0,16,assigned
ripencc,ipv4,147.232.0.0,16,assigned
ripencc,ipv4,158.193.0.0,16,assigned
ripencc,ipv4,158.195.0.0,16,assigned
ripencc,ipv4,158.197.0.0,16,assigned
ripencc,ipv4,176.101.176.0,21,assigned
ripencc,ipv4,176.102.96.0,20,assigned
ripencc,ipv4,176.102.112.0,21,assigned
ripencc,ipv4,176.106.184.0,21,assigned
ripencc,ipv4,176.107.16.0,20,assigned
ripencc,ipv4,176.109.56.0,21,assigned
ripencc,ipv4,176.112.176.0,20,assigned
ripencc,ipv4,176.116.96.0,20,assigned
ripencc,ipv4,176.118.96.0,20,assigned
ripencc,ipv4,192.108.125.0,24,assigned
ripencc,ipv4,194.0.45.0,24,assigned
ripencc,ipv4,194.1.0.0,17,assigned
ripencc,ipv4,194.1.128.0,20,assigned
ripencc,ipv4,194.116.232.0,23,assigned
