region,country,version,ip,prefixlength,orgsflat
afrinic,AO,ipv6,2001:43f8:9d0::,48,[329357;AO;Tel-Cables-Nigeria][329356;AO;Tel-Cables-PTY-LTD][327788;AO;ANGOLA-IX][37468;AO;ANGOLA-CABLES]
afrinic,AO,ipv6,2001:43f8:a80::,48,[37384;AO;BANKO-KEVE]
afrinic,AO,ipv6,2001:43f8:dc0::,48,[328211;AO;SETIC-FP-AS]
afrinic,AO,ipv6,2001:43f8:1100::,48,[328283;AO;BBDP1-AS]
afrinic,BF,ipv4,102.68.125.0,24,[328448;BF;Direction-Generale-Des-Impots-AS]
afrinic,BF,ipv4,102.208.240.0,24,[329440;BF;OFFICE_NATIONAL_DE_LEAU_ET_DE_LASSAINISSEMENT_ONEA]
afrinic,BF,ipv4,102.209.188.0,23,[328245;BF;ARCEP-AS]
afrinic,BF,ipv4,102.211.121.0,24,[329306;BF;SONABEL]
afrinic,BF,ipv4,102.219.92.0,24,[328898;BF;ABDD-AS]
afrinic,BF,ipv4,192.12.116.0,24,[328330;BF;ANSII-AS]
afrinic,BF,ipv4,192.136.55.0,24,*
afrinic,BF,ipv4,192.136.56.0,24,*
afrinic,BF,ipv4,192.136.57.0,24,*
afrinic,BF,ipv4,196.13.207.0,24,[327871;BF;ANPTIC]
afrinic,BF,ipv4,196.43.247.0,24,[328245;BF;ARCEP-AS]
afrinic,BF,ipv4,196.49.19.0,24,[328010;BF;Burkina-IX-MNGNT][37716;BF;Burkina-IX-PEERING]
afrinic,BF,ipv4,196.49.74.0,24,[328010;BF;Burkina-IX-MNGNT][37716;BF;Burkina-IX-PEERING]
afrinic,BF,ipv4,196.60.76.0,24,[328010;BF;Burkina-IX-MNGNT][37716;BF;Burkina-IX-PEERING]
afrinic,BF,ipv4,196.223.47.0,24,[328010;BF;Burkina-IX-MNGNT][37716;BF;Burkina-IX-PEERING]
afrinic,BF,ipv6,2001:43f8:3d0::,48,[328245;BF;ARCEP-AS]
afrinic,BF,ipv6,2001:43f8:a50::,48,[327871;BF;ANPTIC]
afrinic,BF,ipv6,2001:43f8:b60::,48,[328010;BF;Burkina-IX-MNGNT][37716;BF;Burkina-IX-PEERING]
afrinic,BF,ipv6,2001:43f8:b61::,48,[328010;BF;Burkina-IX-MNGNT][37716;BF;Burkina-IX-PEERING]
afrinic,BF,ipv6,2001:43f8:1190::,48,[328330;BF;ANSII-AS]
afrinic,BF,ipv6,2001:43fd:3000::,48,[329440;BF;OFFICE_NATIONAL_DE_LEAU_ET_DE_LASSAINISSEMENT_ONEA]
afrinic,BF,ipv6,2001:43fd:4000::,48,[328898;BF;ABDD-AS]
afrinic,BF,ipv6,2001:43ff:5000::,48,[329306;BF;SONABEL]
afrinic,BI,ipv4,196.13.223.0,24,[327734;BI;ECONET]
afrinic,BI,ipv4,196.49.3.0,24,[37695;BI;BurundiX]
afrinic,BI,ipv4,196.223.3.0,24,*
afrinic,BI,ipv4,196.223.36.0,24,[37695;BI;BurundiX]
afrinic,BI,ipv6,2001:43f8:990::,48,[37695;BI;BurundiX]
afrinic,BI,ipv6,2001:43f8:991::,48,[37695;BI;BurundiX]
afrinic,BJ,ipv4,196.49.8.0,24,[327818;BJ;BENIN-IX][37090;BJ;ISOCEL]
afrinic,BJ,ipv4,196.192.16.0,20,[328653;BJ;uacNet]
afrinic,BJ,ipv4,196.223.40.0,24,[327818;BJ;BENIN-IX][37090;BJ;ISOCEL]
afrinic,BJ,ipv6,2001:43f8:9a0::,48,[328653;BJ;uacNet]
afrinic,BJ,ipv6,2001:43f8:af0::,48,[327818;BJ;BENIN-IX][37090;BJ;ISOCEL]
afrinic,BJ,ipv6,2001:43f8:af1::,48,[327818;BJ;BENIN-IX][37090;BJ;ISOCEL]
afrinic,BW,ipv4,102.219.206.0,24,[328869;BW;BGL-AS]
afrinic,BW,ipv4,196.49.24.0,24,[327696;BW;BINX-MGMT-AS][37771;BW;BINX-Peering]
afrinic,BW,ipv4,196.60.4.0,24,[327696;BW;BINX-MGMT-AS][37771;BW;BINX-Peering]
afrinic,BW,ipv4,196.216.163.0,24,[37051;BW;govbw-as0]
afrinic,BW,ipv6,2001:43f8:2a0::,48,[32279;BW;UBW-WAN]
afrinic,CD,ipv4,102.36.144.0,24,[328569;CD;Banque-Central-Congo]
afrinic,CD,ipv4,102.36.180.0,24,[328552;CD;STE-MDICIS]
afrinic,CD,ipv4,102.207.190.0,24,[328000;CD;Banque-Commerciale-Du-Congo]
afrinic,CD,ipv4,102.210.170.0,24,[329364;CD;GECAMINES]
afrinic,CD,ipv4,102.210.253.0,24,[329342;CD;DIRECTION-GENERALE-DES-DOUANES-ET-ACCISES]
afrinic,CD,ipv4,156.0.198.0,24,[328238;CD;INFOSET-AS]
afrinic,CD,ipv4,192.145.188.0,22,[328601;CD;Compagnie-Financiere-du-Congo-AS]
afrinic,CD,ipv4,193.110.104.0,23,[37453;CD;VODACOM-CONGO]
afrinic,CD,ipv4,196.1.137.0,24,[328928;CD;CEDESURK]
afrinic,CD,ipv4,196.13.110.0,24,[328000;CD;Banque-Commerciale-Du-Congo]
afrinic,CD,ipv4,196.41.67.0,24,[328004;CD;ICTSI-DR-CONGO]
afrinic,CD,ipv4,196.49.68.0,23,[328796;CD;GOMIX-MGT][328452;CD;ISPA-RDC-LUBUX-MGMT][327875;CD;ISPA-DRC-CONTENT][37788;CD;ISPA-DRC-GOMIX-Peering][37785;CD;ISPA-RDC-LUBUX-Peering][37431;CD;ISPA-DRC]
afrinic,CD,ipv4,196.49.76.0,23,[328796;CD;GOMIX-MGT][328452;CD;ISPA-RDC-LUBUX-MGMT][327875;CD;ISPA-DRC-CONTENT][37788;CD;ISPA-DRC-GOMIX-Peering][37785;CD;ISPA-RDC-LUBUX-Peering][37431;CD;ISPA-DRC]
afrinic,CD,ipv4,196.60.64.0,24,[328796;CD;GOMIX-MGT][328452;CD;ISPA-RDC-LUBUX-MGMT][327875;CD;ISPA-DRC-CONTENT][37788;CD;ISPA-DRC-GOMIX-Peering][37785;CD;ISPA-RDC-LUBUX-Peering][37431;CD;ISPA-DRC]
afrinic,CD,ipv4,196.60.78.0,24,[328796;CD;GOMIX-MGT][328452;CD;ISPA-RDC-LUBUX-MGMT][327875;CD;ISPA-DRC-CONTENT][37788;CD;ISPA-DRC-GOMIX-Peering][37785;CD;ISPA-RDC-LUBUX-Peering][37431;CD;ISPA-DRC]
afrinic,CD,ipv4,196.60.92.0,24,[328442;CD;UNITED-SA][37799;CD;ACIX-Peering]
afrinic,CD,ipv4,196.216.216.0,23,[328796;CD;GOMIX-MGT][328452;CD;ISPA-RDC-LUBUX-MGMT][327875;CD;ISPA-DRC-CONTENT][37788;CD;ISPA-DRC-GOMIX-Peering][37785;CD;ISPA-RDC-LUBUX-Peering][37431;CD;ISPA-DRC]
afrinic,CD,ipv4,196.223.28.0,24,[328796;CD;GOMIX-MGT][328452;CD;ISPA-RDC-LUBUX-MGMT][327875;CD;ISPA-DRC-CONTENT][37788;CD;ISPA-DRC-GOMIX-Peering][37785;CD;ISPA-RDC-LUBUX-Peering][37431;CD;ISPA-DRC]
afrinic,CD,ipv6,2001:43f8:3c0::,48,[328796;CD;GOMIX-MGT][328452;CD;ISPA-RDC-LUBUX-MGMT][327875;CD;ISPA-DRC-CONTENT][37788;CD;ISPA-DRC-GOMIX-Peering][37785;CD;ISPA-RDC-LUBUX-Peering][37431;CD;ISPA-DRC]
afrinic,CD,ipv6,2001:43f8:3c1::,48,[328796;CD;GOMIX-MGT][328452;CD;ISPA-RDC-LUBUX-MGMT][327875;CD;ISPA-DRC-CONTENT][37788;CD;ISPA-DRC-GOMIX-Peering][37785;CD;ISPA-RDC-LUBUX-Peering][37431;CD;ISPA-DRC]
afrinic,CD,ipv6,2001:43f8:1460::,48,[328601;CD;Compagnie-Financiere-du-Congo-AS]
afrinic,CD,ipv6,2001:43ff:6000::,48,[328442;CD;UNITED-SA][37799;CD;ACIX-Peering]
afrinic,CF,ipv4,196.216.160.0,24,*
afrinic,CG,ipv4,102.209.72.0,22,[329423;CG;CIRAS]
afrinic,CG,ipv4,196.43.240.0,24,[328379;CG;CGIX-PointeNoire-AS-MGT][328329;CG;ARPCE-AS][37782;CG;CGIX-PointeNoire-AS-PEERING][37548;CG;ARPCE][37481;CG;CGIX]
afrinic,CG,ipv4,196.49.56.0,24,[328379;CG;CGIX-PointeNoire-AS-MGT][328329;CG;ARPCE-AS][37782;CG;CGIX-PointeNoire-AS-PEERING][37548;CG;ARPCE][37481;CG;CGIX]
afrinic,CG,ipv4,196.49.60.0,24,[328379;CG;CGIX-PointeNoire-AS-MGT][328329;CG;ARPCE-AS][37782;CG;CGIX-PointeNoire-AS-PEERING][37548;CG;ARPCE][37481;CG;CGIX]
afrinic,CG,ipv4,196.60.56.0,24,[328379;CG;CGIX-PointeNoire-AS-MGT][328329;CG;ARPCE-AS][37782;CG;CGIX-PointeNoire-AS-PEERING][37548;CG;ARPCE][37481;CG;CGIX]
afrinic,CG,ipv4,196.223.32.0,24,[328379;CG;CGIX-PointeNoire-AS-MGT][328329;CG;ARPCE-AS][37782;CG;CGIX-PointeNoire-AS-PEERING][37548;CG;ARPCE][37481;CG;CGIX]
afrinic,CG,ipv6,2001:43f8:6a0::,48,[328379;CG;CGIX-PointeNoire-AS-MGT][328329;CG;ARPCE-AS][37782;CG;CGIX-PointeNoire-AS-PEERING][37548;CG;ARPCE][37481;CG;CGIX]
afrinic,CG,ipv6,2001:43f8:6a1::,48,[328379;CG;CGIX-PointeNoire-AS-MGT][328329;CG;ARPCE-AS][37782;CG;CGIX-PointeNoire-AS-PEERING][37548;CG;ARPCE][37481;CG;CGIX]
afrinic,CG,ipv6,2001:43f8:6a2::,48,[328379;CG;CGIX-PointeNoire-AS-MGT][328329;CG;ARPCE-AS][37782;CG;CGIX-PointeNoire-AS-PEERING][37548;CG;ARPCE][37481;CG;CGIX]
afrinic,CG,ipv6,2001:43f8:6a3::,48,[328379;CG;CGIX-PointeNoire-AS-MGT][328329;CG;ARPCE-AS][37782;CG;CGIX-PointeNoire-AS-PEERING][37548;CG;ARPCE][37481;CG;CGIX]
afrinic,CG,ipv6,2001:43fc:f000::,48,[329423;CG;CIRAS]
afrinic,CI,ipv4,102.135.191.0,24,[328355;CI;DGI-AS]
afrinic,CI,ipv4,102.216.100.0,22,[329037;CI;BBGC1-AS]
afrinic,CI,ipv4,102.221.152.0,24,[328809;CI;EDIATTAH-AS]
afrinic,CI,ipv4,102.222.82.0,23,[328729;CI;Groupement-Des-Services-Eau-Electricite]
afrinic,CI,ipv4,102.223.249.0,24,[328635;CI;AIGF]
afrinic,CI,ipv4,102.223.252.0,23,[328620;CI;Guichet-Unique-du-Commerce-Exterieur-AS][327773;CI;Guichet-Unique-du-Commerce-Exterieur]
afrinic,CI,ipv4,193.221.218.0,24,*
afrinic,CI,ipv4,196.10.122.0,23,[328620;CI;Guichet-Unique-du-Commerce-Exterieur-AS][327773;CI;Guichet-Unique-du-Commerce-Exterieur]
afrinic,CI,ipv4,196.41.75.0,24,[327974;CI;CI-ART]
afrinic,CI,ipv4,196.49.0.0,24,[36946;CI;CIVIX]
afrinic,CI,ipv4,196.216.226.0,23,[327974;CI;CI-ART]
afrinic,CI,ipv4,196.223.4.0,24,[36946;CI;CIVIX]
afrinic,CI,ipv6,2001:43f8:940::,48,[36946;CI;CIVIX]
afrinic,CI,ipv6,2001:43f8:b20::,48,[327974;CI;CI-ART]
afrinic,CI,ipv6,2001:43f8:b70::,48,[327974;CI;CI-ART]
afrinic,CI,ipv6,2001:43f8:14a0::,48,[328635;CI;AIGF]
afrinic,CI,ipv6,2001:43f8:1630::,48,[328729;CI;Groupement-Des-Services-Eau-Electricite]
afrinic,CI,ipv6,2001:43ff:a000::,48,[329037;CI;BBGC1-AS]
afrinic,CM,ipv4,102.135.189.0,24,[328352;CM;UnitedNations-AS]
afrinic,CM,ipv4,102.208.54.0,23,[329470;CM;Afriland-First-Bank]
afrinic,CM,ipv4,102.208.81.0,24,[329469;CM;Access-BANK-CAMEROON-PLC]
afrinic,CM,ipv4,102.218.252.0,22,[328937;CM;UDM1-AS]
afrinic,CM,ipv4,102.220.222.0,24,[328878;CM;BDED-AS]
afrinic,CM,ipv4,102.223.6.0,24,[328666;CM;CAMPASS-PLC]
afrinic,CM,ipv4,192.145.186.0,23,*
afrinic,CM,ipv4,196.3.90.0,24,*
afrinic,CM,ipv4,196.49.38.0,24,[328091;CM;CAMIX-Mgmt-AS][37718;CM;CAMIX-Peering-AS]
afrinic,CM,ipv4,196.49.84.0,24,[328995;CM;ISC-F-AS][328913;CM;DoualaIX][328840;CM;ST-Digital-AS][37790;CM;DoualaIXPeering]
afrinic,CM,ipv4,196.60.6.0,24,[328091;CM;CAMIX-Mgmt-AS][37718;CM;CAMIX-Peering-AS]
afrinic,CM,ipv4,196.60.7.0,24,[328091;CM;CAMIX-Mgmt-AS][37718;CM;CAMIX-Peering-AS]
afrinic,CM,ipv4,196.60.84.0,24,[328995;CM;ISC-F-AS][328913;CM;DoualaIX][328840;CM;ST-Digital-AS][37790;CM;DoualaIXPeering]
afrinic,CM,ipv4,196.216.212.0,24,[37641;CM;GIE-GCB-AS]
afrinic,CM,ipv6,2001:43f8:d70::,48,[328091;CM;CAMIX-Mgmt-AS][37718;CM;CAMIX-Peering-AS]
afrinic,CM,ipv6,2001:43f8:d71::,48,[328091;CM;CAMIX-Mgmt-AS][37718;CM;CAMIX-Peering-AS]
afrinic,CM,ipv6,2001:43f8:1470::,48,*
afrinic,CM,ipv6,2001:43fc:a000::,48,[328937;CM;UDM1-AS]
afrinic,CM,ipv6,2001:43fd:c000::,48,[328995;CM;ISC-F-AS][328913;CM;DoualaIX][328840;CM;ST-Digital-AS][37790;CM;DoualaIXPeering]
afrinic,CM,ipv6,2001:43fe:c000::,48,[328995;CM;ISC-F-AS][328913;CM;DoualaIX][328840;CM;ST-Digital-AS][37790;CM;DoualaIXPeering]
afrinic,CM,ipv6,2001:43ff:8000::,44,[328878;CM;BDED-AS]
afrinic,CM,ipv6,2001:43ff:b000::,48,[329470;CM;Afriland-First-Bank]
afrinic,CV,ipv4,102.69.151.0,24,[328440;CV;Banco-BAI]
afrinic,CV,ipv4,102.212.81.0,24,[329281;CV;CAIXA-ECONOMICA-DE-CABO-VERDE]
afrinic,CV,ipv4,102.212.175.0,24,[329245;CV;Public-University-of-Cape-Verde]
afrinic,CV,ipv4,102.214.188.0,24,[329138;CV;BBCD1-AS]
afrinic,CV,ipv4,102.216.132.0,24,[329040;CV;BDCV1-AS]
afrinic,CV,ipv4,196.49.96.0,24,[329173;CV;CV-IX-MGT][37796;CV;CV-IX-Peering]
afrinic,CV,ipv4,196.60.112.0,24,[329173;CV;CV-IX-MGT][37796;CV;CV-IX-Peering]
afrinic,CV,ipv6,2001:43f8:16c0::,48,[329173;CV;CV-IX-MGT][37796;CV;CV-IX-Peering]
afrinic,CV,ipv6,2001:43f8:16c1::,48,[329173;CV;CV-IX-MGT][37796;CV;CV-IX-Peering]
afrinic,CV,ipv6,2001:43fc:1000::,48,[329138;CV;BBCD1-AS]
afrinic,CV,ipv6,2001:43fd:5000::,48,[329281;CV;CAIXA-ECONOMICA-DE-CABO-VERDE]
afrinic,DJ,ipv4,196.49.10.0,24,[327831;DJ;Djibouti-Data-Center][37775;DJ;DJIX-PEERING-LAN]
afrinic,DJ,ipv4,196.223.38.0,24,[327831;DJ;Djibouti-Data-Center][37775;DJ;DJIX-PEERING-LAN]
afrinic,DJ,ipv6,2001:43f8:9c0::,48,[327831;DJ;Djibouti-Data-Center][37775;DJ;DJIX-PEERING-LAN]
afrinic,DJ,ipv6,2001:43f8:9c1::,48,[327831;DJ;Djibouti-Data-Center][37775;DJ;DJIX-PEERING-LAN]
afrinic,DZ,ipv4,192.52.232.0,24,[16214;DZ;CERIST]
afrinic,DZ,ipv4,192.245.148.0,24,[16214;DZ;CERIST]
afrinic,DZ,ipv4,193.41.146.0,23,*
afrinic,DZ,ipv4,195.24.80.0,21,*
afrinic,DZ,ipv4,195.39.218.0,23,*
afrinic,EG,ipv4,62.12.120.0,21,[328299;EG;Attijariwafa-AS]
afrinic,EG,ipv4,84.205.96.0,19,[31619;EG;CITYSTARS-AS]
afrinic,EG,ipv4,102.64.58.0,24,[328553;EG;Bank-Misr]
afrinic,EG,ipv4,102.68.22.0,24,[37003;EG;Xceed-as]
afrinic,EG,ipv4,102.69.149.0,24,[328430;EG;Fawry-Banking-Electronic-Payment-AS]
afrinic,EG,ipv4,102.69.150.0,24,[328484;EG;TBE-Egypt-AS]
afrinic,EG,ipv4,102.164.114.0,23,[36978;EG;EFG]
afrinic,EG,ipv4,102.164.122.0,24,[328308;EG;Azurde-Jewelry-AS]
afrinic,EG,ipv4,102.207.24.0,22,[329520;EG;ARPU-Telecommunications]
afrinic,EG,ipv4,102.209.24.0,22,[329431;EG;Redsea-Sahara-Travel]
afrinic,EG,ipv4,102.209.238.0,24,[329397;EG;GlobeMed]
afrinic,EG,ipv4,102.210.188.0,23,[329359;EG;Agility-Infrastructure]
afrinic,EG,ipv4,102.212.66.0,23,[328786;EG;ValU]
afrinic,EG,ipv4,102.214.185.0,24,[329131;EG;NBOK-AS]
afrinic,EG,ipv4,102.217.254.0,24,[328969;EG;ABOE1-AS]
afrinic,EG,ipv4,102.218.20.0,22,[328972;EG;Geidea-Technology-AS]
afrinic,EG,ipv4,102.219.132.0,22,[328876;EG;Unipak-AS]
afrinic,EG,ipv4,102.221.116.0,24,[328786;EG;ValU]
afrinic,EG,ipv4,102.221.142.0,23,[329114;EG;HFTA1-AS]
afrinic,EG,ipv4,102.223.94.0,24,[328762;EG;Mansoora-University]
afrinic,EG,ipv4,102.223.144.0,22,[328645;EG;egyptian-stock-exchange]
afrinic,EG,ipv4,102.223.250.0,24,[328629;EG;Egyptian-Credit-Bureau]
afrinic,EG,ipv4,155.12.128.0,18,[328011;EG;Children-Cancer-Hospital]
afrinic,EG,ipv4,192.101.142.0,24,*
afrinic,EG,ipv4,193.19.232.0,22,*
afrinic,EG,ipv4,193.227.128.0,24,[6879;EG;ENSTINET-]
afrinic,EG,ipv4,195.234.168.0,24,*
afrinic,EG,ipv4,195.234.185.0,24,[2561;EG;EUN]
afrinic,EG,ipv4,195.234.252.0,22,[2561;EG;EUN]
afrinic,EG,ipv4,196.1.143.0,24,[36929;EG;ASCBE]
afrinic,EG,ipv4,196.3.14.0,23,[36978;EG;EFG]
afrinic,EG,ipv4,196.6.185.0,24,[37583;EG;CreditAgricoleEgypt]
afrinic,EG,ipv4,196.6.236.0,24,[37585;EG;NSGB]
afrinic,EG,ipv4,196.10.97.0,24,[37664;EG;RayaCC]
afrinic,EG,ipv4,196.10.120.0,24,[327838;EG;EGYPT-LINX]
afrinic,EG,ipv4,196.12.11.0,24,[37003;EG;Xceed-as]
afrinic,EG,ipv4,196.13.206.0,24,[37112;EG;DarCairoAS]
afrinic,EG,ipv4,196.13.244.0,24,*
afrinic,EG,ipv4,196.13.253.0,24,[37583;EG;CreditAgricoleEgypt]
afrinic,EG,ipv4,196.22.5.0,24,[36870;EG;IT-WORX]
afrinic,EG,ipv4,196.22.7.0,24,[36870;EG;IT-WORX]
afrinic,EG,ipv4,196.22.130.0,24,[36971;EG;ASGPX]
afrinic,EG,ipv4,196.41.73.0,24,[328105;EG;MES-AS]
afrinic,EG,ipv4,196.41.83.0,24,[328052;EG;Orascom-Construction-AS]
afrinic,EG,ipv4,196.43.201.0,24,[37279;EG;EGYPTIAN-BANK]
afrinic,EG,ipv4,196.43.219.0,24,[37339;EG;MSCC]
afrinic,EG,ipv4,196.43.237.0,24,[37444;EG;SCCT]
afrinic,EG,ipv4,196.46.22.0,24,[37193;EG;E-FINANCE]
afrinic,EG,ipv4,196.49.86.0,24,[329003;EG;EG-IX-Management][37728;EG;EG-IX]
afrinic,EG,ipv4,196.50.22.0,23,[37664;EG;RayaCC]
afrinic,EG,ipv4,196.60.86.0,24,[329003;EG;EG-IX-Management][37728;EG;EG-IX]
afrinic,EG,ipv4,196.201.3.0,24,[36870;EG;IT-WORX]
afrinic,EG,ipv4,196.201.24.0,21,[33778;EG;Mantrac-Group-AS]
afrinic,EG,ipv4,196.216.24.0,21,*
afrinic,EG,ipv4,196.216.140.0,22,[36906;EG;ELNG]
afrinic,EG,ipv4,196.216.206.0,24,[327846;EG;Wadi-Degla-Investments-WDI]
afrinic,EG,ipv4,196.216.240.0,23,[37348;EG;CAC]
afrinic,EG,ipv4,196.216.246.0,24,[37091;EG;AL-Ahli-BANK]
afrinic,EG,ipv4,196.216.252.0,24,[37003;EG;Xceed-as]
afrinic,EG,ipv4,196.223.7.0,24,[36971;EG;ASGPX]
afrinic,EG,ipv4,196.223.16.0,23,[37252;EG;GBAUTO]
afrinic,EG,ipv6,2001:43f8:40::,48,[329003;EG;EG-IX-Management][37728;EG;EG-IX]
afrinic,EG,ipv6,2001:43f8:41::,48,[329003;EG;EG-IX-Management][37728;EG;EG-IX]
afrinic,EG,ipv6,2001:43f8:2e0::,48,[37348;EG;CAC]
afrinic,EG,ipv6,2001:43f8:c50::,48,[37003;EG;Xceed-as]
afrinic,EG,ipv6,2001:43fc:2800::,48,[329520;EG;ARPU-Telecommunications]
afrinic,ET,ipv4,102.211.105.0,24,[329327;ET;Bank-of-Abyssinia-Share-Company]
afrinic,ET,ipv4,102.212.10.0,24,[329265;ET;CBOE3-AS]
afrinic,ET,ipv4,196.49.98.0,24,[329226;ET;AddIX-IXP-MGMT][37798;ET;AddIX-IXP-Peering]
afrinic,ET,ipv4,196.60.116.0,24,[329226;ET;AddIX-IXP-MGMT][37798;ET;AddIX-IXP-Peering]
afrinic,ET,ipv6,2001:43f8:1710::,48,[329226;ET;AddIX-IXP-MGMT][37798;ET;AddIX-IXP-Peering]
afrinic,ET,ipv6,2001:43f8:1711::,48,[329226;ET;AddIX-IXP-MGMT][37798;ET;AddIX-IXP-Peering]
afrinic,GA,ipv4,192.188.164.0,22,*
afrinic,GA,ipv4,192.189.139.0,23,*
afrinic,GA,ipv4,196.49.17.0,24,[327796;GA;GABON-IX][37780;GA;GABIX-PEERING-AS]
afrinic,GA,ipv4,196.223.39.0,24,[327796;GA;GABON-IX][37780;GA;GABIX-PEERING-AS]
afrinic,GA,ipv6,2001:43f8:1160::,48,[327796;GA;GABON-IX][37780;GA;GABIX-PEERING-AS]
afrinic,GA,ipv6,2001:43f8:1161::,48,[327796;GA;GABON-IX][37780;GA;GABIX-PEERING-AS]
afrinic,GH,ipv4,45.221.24.0,24,[328264;GH;UPSA-AS]
afrinic,GH,ipv4,45.222.48.0,20,[328076;GH;University-of-Mines-and-Technology]
afrinic,GH,ipv4,45.222.128.0,18,[327886;GH;Central-University-AS]
afrinic,GH,ipv4,102.36.183.0,24,[328574;GH;NCA-AS]
afrinic,GH,ipv4,102.38.160.0,19,[328532;GH;Valley-View-University]
afrinic,GH,ipv4,102.64.8.0,21,[328530;GH;GardenCity-University]
afrinic,GH,ipv4,102.69.246.0,23,[328454;GH;Bank-Of-Ghana-AS]
afrinic,GH,ipv4,102.131.16.0,24,[328367;GH;USEmbassy-Ghana-AS]
afrinic,GH,ipv4,102.134.130.0,23,[328353;GH;MethodistUniversity-AS]
afrinic,GH,ipv4,102.135.188.0,24,[328372;GH;Etranzact-AS]
afrinic,GH,ipv4,102.164.123.0,24,[327845;GH;Sage-Petroleum]
afrinic,GH,ipv4,102.208.80.0,24,[329486;GH;GCB-BANK-PLC]
afrinic,GH,ipv4,102.208.188.0,23,[329449;GH;Regional-Maritime-University]
afrinic,GH,ipv4,102.208.191.0,24,[329459;GH;UBA-GHANA]
afrinic,GH,ipv4,102.209.148.0,22,[329410;GH;Sunyani-Technical-University]
afrinic,GH,ipv4,102.210.32.0,22,[329389;GH;BigPay-Ghana]
afrinic,GH,ipv4,102.211.22.0,24,[329338;GH;Prudential-Bank-Limited]
afrinic,GH,ipv4,102.211.52.0,23,[329326;GH;Accra-Technical-University]
afrinic,GH,ipv4,102.214.24.0,22,[329180;GH;AAUO-AS]
afrinic,GH,ipv4,102.214.52.0,22,[329154;GH;FABL1-AS]
afrinic,GH,ipv4,102.218.224.0,22,*
afrinic,GH,ipv4,102.219.81.0,24,[328896;GH;UOEA-AS]
afrinic,GH,ipv4,102.219.94.0,23,[328890;GH;Cal-Bank-AS]
afrinic,GH,ipv4,102.220.108.0,22,[328827;GH;NLA-AS]
afrinic,GH,ipv4,102.222.175.0,24,[328752;GH;Christian-Service-University-AS]
afrinic,GH,ipv4,102.223.92.0,23,[328647;GH;Koforidua-Technical-University]
afrinic,GH,ipv4,102.223.100.0,24,[328662;GH;Presbyterian-University]
